,Track Name,Album Name,Artist Name(s),Credit,Release Date,Record Label
,明日へのパレード,ネオロマンス 25th Anniversary ヴォーカルコンプリートBOX,オスカー・ヒノエ・チナミ・東金千秋・レイン・織田信長(CV:堀内賢雄・高橋直純・阿部 敦・谷山紀章・高橋広樹・松風雅也),編曲,2020-02-19,KOEITECMO
,Fatalität,ヴォーカル集 金色のコルダ4 SONGFUL,冥加玲士(CV:日野 聡),編曲,2020-03-25,KOEITECMO
,運命への抵抗,ヴォーカル集 遙かなる時空の中で7 深紅の歌,石田三成(CV: 平川大輔),編曲,2020-08-19,KOEITECMO
,共に戦うなら,ヴォーカル集 遙かなる時空の中で7 深紅の歌,直江兼続 (CV: 竹本英史),編曲,2020-08-19,KOEITECMO
,来たれ太平の世,ヴォーカル集 遙かなる時空の中で7 深紅の歌,平島義近 (CV: 近藤 隆),編曲,2020-08-19,KOEITECMO
,Break out! Get down!,Break out! Get down！（アニメ「新テニスの王子様」）- Single,木手永四郎&知念 寛,作曲,2020-11-30,ドリーミュージックパブリッシング
,冬もプリヤートナ,アニメ「ヘタリア World★Stars」キャラクターソング&ドラマ Vol.2,ロシア(CV:高戸靖広)の曲,編曲,2021-08-26,Frontier Works Inc.
