Track URI,Track Name,Album Name,Artist Name(s),Credit,Release Date,Record Label
spotify:track:6hWFVuVfjtENUXm1mK9wC0,推し×ルキ＝最強説,推し×ルキ＝最強説,ROOKEY♡ROOKEYS,作曲　編曲,2025-03-16,ROOKEY♡ROOKEYS
spotify:track:4CoW0kXDQF5N0HpqTlhJzw,スキイロ微炭酸,スキイロ微炭酸,ROOKEY♡ROOKEYS,作曲　編曲,2025-07-01,ROOKEY♡ROOKEYS
spotify:track:2eFT7PtW87j4Bte9TCIXgZ,イジワルストロベリー サビver.,イジワルストロベリー サビver.,ROOKEY♡ROOKEYS,作曲　編曲,2025-12-19,ROOKEY♡ROOKEYS
spotify:track:61nmTv8lmhjUoBtI095Xpi,ROOKEYS SHOWTIME,ROOKEY♡ROOKEYS 2026,ROOKEY♡ROOKEYS,作曲　編曲,2026-01-09,ROOKEY♡ROOKEYS
spotify:track:378FpiY9lyWQb50oKHRdqK,メチャパナライ↑↑ 2026ver.,ROOKEY♡ROOKEYS 2026,ROOKEY♡ROOKEYS,作曲　編曲,2026-01-09,ROOKEY♡ROOKEYS
spotify:track:2y5jKR2NDdTdOv568vjlfF,推し×ルキ＝最強説 2026ver.,ROOKEY♡ROOKEYS 2026,ROOKEY♡ROOKEYS,作曲　編曲,2026-01-09,ROOKEY♡ROOKEYS
spotify:track:58EabB2ErglOVSFPCySMXa,イジワルストロベリー,イジワルストロベリー,ROOKEY♡ROOKEYS,作曲　編曲,2026-01-19,ROOKEY♡ROOKEYS
